,minimum,maximum
R01498__e_r_,0.0,0.0
R07004__e_r_,0.0,0.0
R10092__cytop,-0.0958301481532959,0.04852619534407572
R00943__cytop,0.0072608546406536115,0.007260854640660175
R00206__mito,-0.0204853318497343,0.0204853318497343
R04682__e_r_,0.0,0.0
R02543__e_r_,0.0,0.0
EX_C12650__dra,0.0,0.0
R01187__chlo,0.0,0.0
T_Glycine_V1__mitmem,0.0006191435857977567,0.000619143585806594
EX_C07446__dra,0.0,-6.873607329172447e-32
R02093__mito,0.0,0.035751210597621
R07978__cytop,0.0,0.0
R09067__chlo,0.0,0.0
R04001__mito,0.0,0.0
R02283__chlo,-0.0016975879083321725,-0.0016975879083182522
PKS_C82__cytop,0.0,6.817192701946969e-17
R00904__cytop,0.0,0.0
RXN_16380__e_r_,0.003614857635488674,0.003614857635492971
R01466__chlo,0.0014166538877614693,0.0014166538877812566
R02017__cytop,0.0,0.0024406103315685744
R12657__mito,5.220477750406647e-07,5.220477750559541e-07
R04580__cytop,0.0,0.0
R03045__cytop,0.0,0.0
EX_C02805__dra,0.0,0.0
R07274__cytop,0.0,0.0
R03428__nucl,0.0,0.0
R11804__chlo,0.0,0.0
R09405__chlo,0.0,0.0
R08280__e_r_,0.0,0.0
R03697__chlo,0.0,0.0
TO1100190_PLAS__plas,0.0,0.0
TI3000930_PLAS__plas,0.0,0.0
R10436__golg,0.0,0.0
R08091__mito,0.0,0.0
R02326__mito,0.0,0.0
R03648__cytop,0.0005945659245468904,0.0005945659245468907
R07606__cytop,0.0,0.0
R09958__mito,0.0,0.0179587730313645
R02094__mito,0.0,0.0178756052988105
R02294__cytop,-1.8560159964268528e-14,0.0
TO0000246_PLAS__vacmem,0.0,0.0
R00434__cytop,0.0,3.9667756921132133e-16
R00129__mito,0.0,0.00549629688837658
T_CO2_V1__chlomem,0.9999999999999702,1.0
T_L_Ascorbate__chlomem,-7.101026489035711e-18,0.0
R03659__cytop,0.0005178566548503874,0.0005178566548503877
R10122__cytop,0.0,0.0
R02488__mito,0.0,1.983534862325422e-16
R02549__chlo,0.0,0.0
R07023__e_r_,0.0,0.0
PKS_C163__cytop,0.0,9.246896880954538e-18
R12172__e_r_,0.0,0.0
TO1000274_PLAS__plas,-5.568047989280586e-15,0.0
R00494__pero,0.0,4.808057808506068e-17
EX_C16641__dra,0.0,0.0
TZ2900002_PLAS__vacmem,0.0,0.0
R02487__mito,0.0,1.9836151234588227e-16
T_Diphosphate__ermem,-0.007795549074940246,-0.007795549074921559
EX_C00070__dra,0.0,3.96599775568353e-16
R09477__cytop,0.0,0.00437371683709063
R04946__mito,0.0,0.0
R08390__e_r_,0.0,0.0
R00531__mito,0.0,0.034158835588540895
R01665__mito,0.0,0.0
R01827__cytop,-0.0267401191559781,-0.013854543313089855
R03197__chlo,0.0010067299131910211,0.0010067299131910632
R04998__vacu,0.0,0.0
T_URATEtm__mitmem,0.0,0.0
R03036__chlo,0.0,0.0
R00899__mito,0.0,0.0
R10039__e_r_,0.0,0.0
R07116__chlo,0.0,0.0
PKS_C60__cytop,0.0,4.1208018437693377e-17
R04506__mito,0.0,0.0
R01071__cytop,-0.0005690174903267737,-0.0005690174903267574
R03971__cytop,0.0,0.0
R09737__mito,5.220477750406647e-07,5.220477750559542e-07
R00702__e_r_,1.8560610467544958e-32,1.1221329171382027e-17
R02047__mito,0.0,0.0
R02093__cytop,0.002439980281849363,0.0024399802818496925
R01021__cytop,0.0,0.0
R07070__chlo,0.0,0.0
R00582__mito,0.0,0.0
EX_C05688__dra,0.0,0.0
R08267__e_r_,0.0,0.0
R10039__vacu,0.0,0.0
R04747__pero,-2.9835060546376374e-30,0.0
R08733__cytop,0.0,0.0
T_OAAICITtm__mitmem,-0.0204942514427023,0.0204942514427023
R02098__mito,0.0,0.0
T_CO__plas,1.05971374164569e-06,1.059713741669521e-06
T_L_Threonine__chlomem,-0.000619143585806594,-0.0006191435858062643
R00424__chlo,0.0,0.0
T_CMP_V3__golmem,0.0,0.0
TO1000751_PLAS__plas,0.0,0.0
R01626__cytop,0.0,4.944962212523238e-16
R04960__cytop,0.0,8.241603687538506e-17
R04100__pero,0.0,0.0
R07509__e_r_,0.0,0.0
R00089__nucl,0.0,0.0
R08237__cytop,0.0,0.0
R12173__e_r_,0.00036764568406438987,0.0003676456840644639
R11319__cytop,0.0,0.0
R02327__nucl,0.0,0.0
e_Lipid__cytop,0.0010234725776718202,0.0010234725776718208
R08177__pero,0.0,0.0
R02408__cytop,0.0,0.0
R04681__e_r_,0.0,7.32000264046462e-20
R11308__cytop,0.0,0.0
R01070__mito,0.0,0.0
R00277__cytop,0.0,0.0
R03469__cytop,0.0,3.296641475015482e-16
R07945__chlo,0.0,0.0
R00362__mito,0.003481348718405152,0.00746241063982366
R01054__cytop,0.0,0.0
R04956__cytop,0.0,-8.330543901844863e-17
R04170__chlo,0.0,0.0
T_Ammonia_V4__ermem,0.0,0.0
R12017__chlo,0.0,0.0
R12169__e_r_,0.0,0.0
EX_C00159__dra,0.0,0.0
R05575__mito,0.0,0.0
R07896__pero,0.0,0.0
R03659__chlo,0.0,0.0
TZ2900003_PLAS__plas,-0.00127745221680661,0.00127745221680661
TO3000696_PLAS__plas,0.0,1.7002836663326766e-15
R11319__chlo,0.0,0.0
R02558__extr,0.0,0.0
R01939__cytop,0.0,7.200039363102005e-16
R01843__cytop,0.0,0.012885575842888635
R03083__cytop,0.0,0.0
R07627__cytop,0.0,0.0
R07043__chlo,0.0,0.0
R07943__e_r_,0.0,0.0
TZ2900023_PLAS__chlomem,0.005378896140790418,0.013311857314758802
T_OAACITtm__mitmem,-0.0204942514427023,0.0204942514427023
R00926__mito,0.0,0.0
T_Hydrogen_Peroxide_V2__chlomem,-0.0030212494533218893,0.05924817923360331
