,flux_wt,flux_nd,ratio,ratio_100
T_Ammonia_V2__mitmem,0.9622753624354164,0.3936811911893495,2.444301084154638,244.43010841546382
R05637__chlo,0.5587436983000001,0.5536642056643832,1.0091743200727987,100.91743200727987
R08174__mito,2.758165979360245,0.0,inf,inf
R04798__chlo,0.020573280000000003,0.020386250017257586,1.0091743200727985,100.91743200727986
R03313__cytop,0.14203450000000004,0.1407432761366283,1.009174320072799,100.9174320072799
R07364__cytop,0.009273960000000005,0.009189651198547151,1.0091743200727992,100.91743200727991
R04967__chlo,0.9652254055025709,0.32063407976500846,3.010364357431939,301.0364357431939
R00658__chlo,8.667873938306712,9.24559193313971,0.9375142231010394,93.75142231010393
EX_e_Biomass__dra,1.0,0.9909090829103372,1.0091743200727987,100.91743200727987
T_Hydrogen_V1__chlomem,2.360058169130361,3.2303279877143782,0.7305939762482826,73.05939762482826
R10124__mito,0.00018025000000000007,0.0001786113621945883,1.009174320072799,100.9174320072799
R04559__cytop,0.6537434726999846,0.6478003449917701,1.009174320072784,100.9174320072784
EX_C14818__dra,-7.143160000000725e-05,-7.078222124680086e-05,1.0091743200731462,100.91743200731462
T_MALOAAth__chlomem,20.710411981012,50.497541387848564,0.41012713514000176,41.012713514000176
TO0000021_PLAS__plas,7.143160000000725e-05,7.078222124680086e-05,1.0091743200731462,100.91743200731462
R02691__chlo,0.027737300000000003,0.027485142505408896,1.0091743200727987,100.91743200727987
R01209__chlo,0.47741170387443427,0.37440460511593665,1.2751224139633668,127.51224139633668
R04430__chlo,0.9652254055025709,0.32063407976500846,3.010364357431939,301.0364357431939
R10115__mito,0.00018025000000000007,0.0001786113621945883,1.009174320072799,100.9174320072799
T_H2S_V1__mitmem,-0.6502687357274681,-0.3520216110218741,1.8472409515990238,184.7240951599024
R04536__chlo,0.9652254055025709,0.6412681595300169,1.5051821787159696,150.51821787159696
RXN_14485__e_r_,0.03334190951886002,0.033038800983813,1.0091743200727994,100.91743200727994
R03165__chlo,0.09836413160000002,0.09746991143502773,1.0091743200727987,100.91743200727987
T_FAD__chlomem,2.1735165171761093,1.5477880960456416,1.4042726667359096,140.42726667359096
T_Tetradecanoic_acid__chlomem,0.011082126308961006,0.010981379617509066,1.009174320072799,100.9174320072799
T_Methanol__mitmem,0.00018025000000000007,0.0001786113621945883,1.009174320072799,100.9174320072799
R00236__chlo,0.8611546152713242,1.7585751032430084,0.48968884734195267,48.968884734195264
R05578__chlo,0.7869130528000001,0.7797592914802218,1.0091743200727987,100.91743200727987
R04962__chlo,0.9652254055025709,0.32063407976500846,3.010364357431939,301.0364357431939
e_Cofactor__cytop,0.10000000000000003,0.09909090829103372,1.009174320072799,100.9174320072799
R00209__chlo,5.907181728960613,2.974360188618737,1.986034425677224,198.6034425677224
R02063__chlo,0.09829270000000001,0.09739912921378091,1.0091743200727987,100.91743200727987
R05688__chlo,0.5587436983000001,0.5536642056643832,1.0091743200727987,100.91743200727987
R04591__cytop,0.6537434726999846,0.6478003449917701,1.009174320072784,100.9174320072784
R11044__e_r_,0.03592140054213302,0.035594842068059906,1.009174320072799,100.9174320072799
PEROX__pero,5.180760366854921,11.452950882169887,0.4523515747300026,45.23515747300026
T__5Z_8Z_11Z_14Z_17Z__Icosapentaenoyl_CoA__ermem,0.2709391173175501,0.0,inf,inf
TR2000009_PLAS__mitmem,8.003200107771246,13.768890974905677,0.5812523406828756,58.125234068287554
TZ2900034_PLAS__plas,0.0930866697999999,0.09224042660269541,1.0091743200727972,100.91743200727971
R00965__cytop,0.6341945880000001,0.628429177581779,1.009174320072799,100.9174320072799
R10092__cytop,-11.496523100944277,-14.465844007220989,0.7947357302626448,79.47357302626448
R00943__cytop,0.7094332372999846,0.7029838385590487,1.0091743200727854,100.91743200727853
T_Glycine_V1__mitmem,0.11753405206285428,0.23639129037615433,0.49720127960649424,49.72012796064942
R02283__chlo,-0.16586550000000003,-0.16435763049146454,1.0091743200727987,100.91743200727987
RXN_16380__e_r_,0.33690648113230903,0.018661230407070878,18.053819270387052,1805.3819270387053
