,flux_wt,flux_nd,ratio,ratio_100
R01216__mito,0.671323502360887,0.514040754724975,0.7657124365782138,76.57124365782137
AMOBR__mito,0.00018025000000000007,0.0001786113621945883,0.990909082910337,99.0909082910337
R03664__cytop,0.029256500000000005,0.02899053158416628,0.9909090829103371,99.09090829103371
R00842__cytop,-0.11352183000000005,0.0,-0.0,-0.0
R00372__cytop,-0.8448659001678752,-0.9470803007024371,1.1209829873761645,112.09829873761646
T_Ammonia_V2__mitmem,0.9622753624354164,0.3936811911893495,0.4091149026126829,40.91149026126829
R05637__chlo,0.5587436983000001,0.5536642056643832,0.9909090829103371,99.09090829103371
R08174__mito,2.758165979360245,0.0,0.0,0.0
R04798__chlo,0.020573280000000003,0.020386250017257586,0.9909090829103372,99.09090829103371
R03313__cytop,0.14203450000000004,0.1407432761366283,0.990909082910337,99.0909082910337
R07364__cytop,0.009273960000000005,0.009189651198547151,0.9909090829103367,99.09090829103367
R04967__chlo,0.9652254055025709,0.32063407976500846,0.33218570288052207,33.218570288052206
T_Oxygen_V4__permem,0.0,3.6130639082237983,inf,inf
R00658__chlo,8.667873938306712,9.24559193313971,1.0666504841838824,106.66504841838824
EX_e_Biomass__dra,1.0,0.9909090829103372,0.9909090829103372,99.09090829103371
T_Hydrogen_V1__chlomem,2.360058169130361,3.2303279877143782,1.36874930879551,136.87493087955102
R10124__mito,0.00018025000000000007,0.0001786113621945883,0.990909082910337,99.0909082910337
R04559__cytop,0.6537434726999846,0.6478003449917701,0.9909090829103514,99.09090829103513
EX_C14818__dra,-7.143160000000725e-05,-7.078222124680086e-05,0.990909082909996,99.09090829099961
T_MALOAAth__chlomem,20.710411981012,50.497541387848564,2.438268318087849,243.82683180878487
TO0000021_PLAS__plas,7.143160000000725e-05,7.078222124680086e-05,0.990909082909996,99.09090829099961
R02691__chlo,0.027737300000000003,0.027485142505408896,0.9909090829103371,99.09090829103371
R01209__chlo,0.47741170387443427,0.37440460511593665,0.7842384300122021,78.4238430012202
R04430__chlo,0.9652254055025709,0.32063407976500846,0.33218570288052207,33.218570288052206
R10115__mito,0.00018025000000000007,0.0001786113621945883,0.990909082910337,99.0909082910337
T_H2S_V1__mitmem,-0.6502687357274681,-0.3520216110218741,0.5413478946178472,54.13478946178471
R04536__chlo,0.9652254055025709,0.6412681595300169,0.6643714057610441,66.43714057610441
R00472__mito,0.0,0.8198431458998453,inf,inf
RXN_14485__e_r_,0.03334190951886002,0.033038800983813,0.9909090829103365,99.09090829103366
R03165__chlo,0.09836413160000002,0.09746991143502773,0.9909090829103372,99.09090829103371
PKS_C185__cytop,0.0,0.26847603226566974,inf,inf
EX_C00027__dra,5.3648291271023565,99.58842763569804,18.563205887134675,1856.3205887134675
T_FAD__chlomem,2.1735165171761093,1.5477880960456416,0.7121124149802042,71.21124149802041
T_Tetradecanoic_acid__chlomem,0.011082126308961006,0.010981379617509066,0.9909090829103369,99.09090829103368
T_Methanol__mitmem,0.00018025000000000007,0.0001786113621945883,0.990909082910337,99.0909082910337
R00236__chlo,0.8611546152713242,1.7585751032430084,2.042113079413659,204.21130794136587
R05578__chlo,0.7869130528000001,0.7797592914802218,0.9909090829103372,99.09090829103371
R04962__chlo,0.9652254055025709,0.32063407976500846,0.33218570288052207,33.218570288052206
e_Cofactor__cytop,0.10000000000000003,0.09909090829103372,0.9909090829103369,99.09090829103368
R00209__chlo,5.907181728960613,2.974360188618737,0.5035159446740239,50.35159446740239
R02063__chlo,0.09829270000000001,0.09739912921378091,0.9909090829103372,99.09090829103371
R05688__chlo,0.5587436983000001,0.5536642056643832,0.9909090829103371,99.09090829103371
R04591__cytop,0.6537434726999846,0.6478003449917701,0.9909090829103514,99.09090829103513
R11044__e_r_,0.03592140054213302,0.035594842068059906,0.9909090829103369,99.09090829103368
PEROX__pero,5.180760366854921,11.452950882169887,2.2106698768471738,221.0669876847174
T__5Z_8Z_11Z_14Z_17Z__Icosapentaenoyl_CoA__ermem,0.2709391173175501,0.0,0.0,0.0
TR2000009_PLAS__mitmem,8.003200107771246,13.768890974905677,1.720423179414925,172.04231794149248
TZ2900034_PLAS__plas,0.0930866697999999,0.09224042660269541,0.9909090829103386,99.09090829103387
