,flux_wt,flux_nd,ratio
R00943__cytop,0.7094332372999846,0.7029838385590487,0.9909090829103503
R00206__mito,-2.1531085676345327,0.0,-0.0
R04682__e_r_,0.0,0.0,
R02543__e_r_,0.0,0.0,
EX_C12650__dra,0.0,0.0,
R01187__chlo,0.0,0.0,
T_Glycine_V1__mitmem,0.11753405206285428,0.23639129037615433,2.0112578969857875
EX_C07446__dra,0.0,0.0,
R02093__mito,0.0,7.442081942199098,inf
R07978__cytop,0.0,0.0,
R09067__chlo,0.0,0.0,
R04001__mito,0.0,0.0,
R02283__chlo,-0.16586550000000003,-0.16435763049146454,0.9909090829103371
PKS_C82__cytop,0.0,0.26847603226566974,inf
R00904__cytop,0.0,0.0,
RXN_16380__e_r_,0.33690648113230903,0.018661230407070878,0.05538994187452953
R01466__chlo,0.19404100000000005,0.19227698935700477,0.9909090829103371
R02017__cytop,0.0,0.0,
R12657__mito,5.100750000000002e-05,5.054379504654903e-05,0.9909090829103369
R04580__cytop,0.0,0.0,
R03045__cytop,0.0,0.0,
EX_C02805__dra,0.0,0.0,
R07274__cytop,0.0,0.0,
R03428__nucl,0.0,0.0,
R11804__chlo,0.0,0.0,
R09405__chlo,0.0,0.0,
R08280__e_r_,0.0,0.0,
R03697__chlo,0.0,0.0,
TO1100190_PLAS__plas,0.0,0.0,
TI3000930_PLAS__plas,0.0,0.0,
R10436__golg,0.0,0.0,
R08091__mito,0.0,0.0,
R02326__mito,0.0,0.0,
R03648__cytop,0.05809300000000001,0.05756488135351021,0.9909090829103369
R07606__cytop,0.0,0.0,
R09958__mito,0.0,0.0,
R02094__mito,0.0,2.3456491889583315,inf
R02294__cytop,0.0,0.0,
TO0000246_PLAS__vacmem,0.0,0.0,
R00434__cytop,0.0,0.0,
R00129__mito,0.0,1.5431784989602033,inf
T_CO2_V1__chlomem,49.646927971474504,99.58842763571194,2.0059333317246173
T_L_Ascorbate__chlomem,0.0,0.0,
R03659__cytop,0.050598000000000004,0.050138017777097234,0.990909082910337
R10122__cytop,0.0,0.0,
R02488__mito,0.0,0.0,
R02549__chlo,0.0,0.0,
R07023__e_r_,0.0,0.0,
PKS_C163__cytop,0.01628887694127823,0.06284722568414561,3.85829090063798
R12172__e_r_,0.0,0.0,
TO1000274_PLAS__plas,0.0,0.0,
R00494__pero,0.0,0.0,
EX_C16641__dra,0.0,0.0,
TZ2900002_PLAS__vacmem,0.0,0.0,
R02487__mito,0.0,0.0,
T_Diphosphate__ermem,-0.74538752211329,-0.19844917920058827,0.2662362506927321
EX_C00070__dra,0.0,0.0,
R09477__cytop,0.0,0.0,
R04946__mito,0.0,0.0,
R08390__e_r_,0.0,0.0,
R00531__mito,0.0,0.0,
R01665__mito,0.0,0.0,
R01827__cytop,-1.3536799729999847,0.0,-0.0
R03197__chlo,0.09836413160000002,0.09746991143502773,0.9909090829103372
R04998__vacu,0.0,0.0,
T_URATEtm__mitmem,0.0,0.0,
R03036__chlo,0.0,0.0,
R00899__mito,0.0,0.0,
R10039__e_r_,0.0,0.0,
R07116__chlo,0.0,0.0,
PKS_C60__cytop,0.0,0.0,
R04506__mito,0.0,0.0,
R01071__cytop,-0.05559675000000001,-0.055091324555295286,0.990909082910337
R03971__cytop,0.0,0.0,
R09737__mito,5.100750000000002e-05,5.054379504654903e-05,0.9909090829103369
R00702__e_r_,0.0,0.0,
R02047__mito,0.0,0.0,
R02093__cytop,0.23840211600000003,0.23623482212944383,0.9909090829103371
R01021__cytop,0.0,0.0,
R07070__chlo,0.0,0.0,
R00582__mito,0.0,0.0,
EX_C05688__dra,0.0,0.0,
R08267__e_r_,0.0,0.0,
R10039__vacu,0.0,0.0,
R04747__pero,0.0,0.0,
R08733__cytop,0.0,0.0,
T_OAAICITtm__mitmem,0.22675900117778278,0.0,0.0
R02098__mito,0.0,0.0,
T_CO__plas,0.00010354100000000004,0.00010259971735361923,0.9909090829103367
T_L_Threonine__chlomem,-0.11611900000000003,-0.11506337179846543,0.9909090829103369
R00424__chlo,0.0,0.0,
T_CMP_V3__golmem,0.0,0.0,
TO1000751_PLAS__plas,0.0,0.0,
R01626__cytop,0.14659989247150407,2.981909321548338,20.340460496094554
R04960__cytop,0.0,0.0,
R04100__pero,0.0,0.0,
R07509__e_r_,0.0,0.0,
R00089__nucl,0.0,0.0,
R08237__cytop,0.0,0.0,
R12173__e_r_,0.03592140054213302,0.035594842068059906,0.9909090829103369
R11319__cytop,0.0,0.0,
R02327__nucl,0.0,0.0,
e_Lipid__cytop,0.10000000000000003,0.09909090829103372,0.9909090829103369
R08177__pero,0.0,0.0,
R02408__cytop,0.0,0.0,
R04681__e_r_,0.0,0.0,
R11308__cytop,0.0,0.0,
R01070__mito,0.0,0.0,
R00277__cytop,0.0,0.0,
R03469__cytop,0.0,0.0,
R07945__chlo,0.0,0.0,
R00362__mito,1.9023343418993757,1.279903009470548,0.6728065520767688
R01054__cytop,0.0,0.0,
R04956__cytop,0.0,0.0,
R04170__chlo,0.0,0.0,
T_Ammonia_V4__ermem,0.0,0.0,
R12017__chlo,0.0,0.0,
R12169__e_r_,0.0,0.0,
EX_C00159__dra,0.0,0.0,
R05575__mito,0.0,0.0,
R07896__pero,0.0,0.0,
R03659__chlo,0.0,0.0,
TZ2900003_PLAS__plas,-0.2735067125104947,0.0,-0.0
TO3000696_PLAS__plas,0.0,0.0,
R11319__chlo,0.0,0.0,
R02558__extr,0.0,0.0,
R01939__cytop,0.0,0.0,
R01843__cytop,0.0,0.0,
R03083__cytop,0.0,0.0,
R07627__cytop,0.0,0.0,
R07043__chlo,0.0,0.0,
R07943__e_r_,0.0,0.0,
TZ2900023_PLAS__chlomem,0.5255535183000001,0.5207757548389542,0.9909090829103372
T_OAACITtm__mitmem,0.22675900117778278,-0.3509285697244902,-1.5475838573188831
R00926__mito,0.0,0.0,
T_Hydrogen_Peroxide_V2__chlomem,12.650500191047517,27.02238483211013,2.1360724417231567
R08280__cytop,0.0,0.0,
TI3001536_PLAS__plas,0.0,0.0,
R07051__chlo,0.0,0.0,
TR0000020_PLAS__mitmem,0.0,0.0,
R10546__cytop,0.0,0.0,
R00127__chlo,13.287085138626544,4.010311713860289,0.3018202767589721
EX_C00080__dra,-3.2084643458903757,-1.3925064083067593,0.4340102485758891
R00143__cytop,0.0,0.0,
R02356__chlo,0.0,0.0,
T_Diphosphate_V1__permem,0.0,0.0,
R08249__e_r_,0.0,0.0,
R06982__cytop,0.6990551608999774,0.6927001083911513,0.9909090829103606
R03472__chlo,0.00010354100000000004,0.00010259971735361923,0.9909090829103367
TO1000275_PLAS__plas,0.0,0.0,
EX_C00328__dra,0.0,0.0,
T__6Z_9Z_12Z__Hexadecatrienoyl_CoA__ermem,0.029998201266420017,0.02972549010586796,0.9909090829103367
R06865__mito,0.0,0.0,
RXN_12777__e_r_,0.06854685483803181,0.021217271491317812,0.3095294677115637
R10633__mito,0.0,0.0,
EX_C06232__dra,0.0,0.0,
R08945__cytop,0.0,0.0,
R11099__mito,0.0,0.0,
R04847__e_r_,0.0,0.0,
T_Tetrahydrofolate__chlomem,0.0,0.0,
R00514__cytop,0.0,0.0,
R03314__cytop,0.14203450000000004,0.1407432761366283,0.990909082910337
R00742__cytop,0.6168550045847929,3.132706921588122,5.07851423479454
R02334__cytop,0.0,0.0,
R02892__e_r_,0.0,0.0,
TR2000137_PLAS__mitmem,0.22675900117778278,-0.3509285697244902,-1.5475838573188831
R09420__mito,0.0,0.0,
R08954__e_r_,0.0,0.0,
R00684__cytop,0.0,0.0,
R03088__chlo,0.0,0.0,
R07098__e_r_,0.0,0.0,
R00239__cytop,0.14203450000000004,0.1407432761366283,0.990909082910337
R06522__chlo,0.0,0.0,
R05165__chlo,0.0,0.0,
e_RNA__cytop,0.077,0.07629999938409596,0.9909090829103371
R07056__chlo,0.0,0.0,
RXN_12997__e_r_,0.2709391173175501,0.0,0.0
R12427__mito,0.0,0.0,
R07135__cytop,0.0,0.0,
TI2000430_PLAS__plas,0.0,0.0,
R06960__cytop,0.0,0.0,
R08162__cytop,0.0,0.0,
R06286__chlo,0.0,0.09739912921378091,inf
EX_C03855__dra,0.0,0.0,
R00357__cytop,3.1178910707082936,99.58842763571194,31.940957967171176
R07396__cytop,0.009273960000000005,0.009189651198547151,0.9909090829103367
R03777__mito,0.0,0.0,
R04543__mito,0.0,0.0,
TO1000588_PLAS__plas,0.0,0.0,
R08258__cytop,0.0,0.0,
R01082__chlo,0.0,0.0,
R00569__golg,0.0,0.0,
TI3000282_PLAS__ermem,0.0034969400000000013,0.0034651496083924747,0.9909090829103369
R04137__chlo,0.0,0.0,
R02208__e_r_,0.0,0.0,
TR2000106_PLAS__chlomem,10.916495894771382,0.0,0.0
TO1000085_PLAS__plas,0.0,0.0,
R03552__nucl,0.0,0.0,
R07009__cytop,0.0,0.0,
TR2900003_PLAS__mitmem,0.0,0.0,
R05615__cytop,0.0,0.0,
R09381__e_r_,0.0,0.0,
R05046__cytop,0.000191878300007295,0.00019013395028339458,0.9909090828726641
