Geneid	tpm
Ng00203	201.22285021743707
Ng00204	237.29538126615458
Ng00205	138.51371443984294
Ng00206	49.06093394476472
Ng00207	260.7864842352843
Ng00208	230.2695896861799
Ng00209	22.90861956158816
Ng00210	0.0
Ng00211	0.8458347039295254
Ng00212	97.12375305898917
Ng00213	43.62119801579129
Ng00214	24.427052464206295
Ng00215	12.215493300267442
Ng00216	87.03781090075763
Ng00217	75.42757800958621
Ng00218	3.501362262778035
Ng00219	117.7015452914562
Ng00220	6.703657076431957
Ng00221	10.958204329487222
Ng00222	1144.516879835306
Ng00223	642.5885768673487
Ng00224	38.40284000599569
Ng00225	25.576430333107076
Ng00226	37.7576212693836
Ng00227	77.32979702289026
Ng00228	64.62356150657327
Ng00229	25.284374189041312
Ng00230	876.5569759343219
Ng00231	5.535747452546894
