	fluxes	reduced_costs
R10092__cytop	-0.11544035159383967	4.0
R00943__cytop	0.007123650981020683	-1.999999999996362
R00206__mito	-0.02162004121471539	1.999999999998181
R04682__e_r_	0.0	40.0
R02543__e_r_	0.0	-2.0
EX_C12650__dra	-0.0	-2.0
R01187__chlo	0.0	-2.0
T_Glycine_V1__mitmem	0.0011801978889835099	-606.0585602008628
EX_C07446__dra	-0.0	-2.0
R02093__mito	0.0	-2.0
R07978__cytop	0.0	-2.0
R09067__chlo	0.0	-2.0
R04001__mito	0.0	2.0
R02283__chlo	-0.0016655096909320686	2.0
PKS_C82__cytop	0.0	-2.0
R00904__cytop	0.0	-2.0
RXN_16380__e_r_	0.0033829885546789555	-1.999999999996362
R01466__chlo	0.001948429094285126	-2.0
R02017__cytop	0.0	0.0
R12657__mito	5.121829769194619e-07	-2.0
R04580__cytop	0.0	-2.0
R03045__cytop	0.0	-2.0
EX_C02805__dra	-0.0	-2.0
R07274__cytop	0.0	-2.0
R03428__nucl	0.0	-2.0
R11804__chlo	0.0	-2.0
R09405__chlo	0.0	-2.0
R08280__e_r_	0.0	-2.0
R03697__chlo	0.0	-2.0
TO1100190_PLAS__plas	0.0	0.0
TI3000930_PLAS__plas	0.0	3474.576588072705
R10436__golg	0.0	-2.0
R08091__mito	0.0	-2.0
R02326__mito	0.0	-2.0
R03648__cytop	0.0005833307979978757	-2.0
R07606__cytop	0.0	-2.0
R09958__mito	0.0	-2.0
R02094__mito	0.0	-2.0
R02294__cytop	0.0	2.0000000000002274
TO0000246_PLAS__vacmem	0.0	-2.0
R00434__cytop	0.0	-2.0
R00129__mito	0.0	-2.0
T_CO2_V1__chlomem	0.49852096276181057	-2.0
T_L_Ascorbate__chlomem	0.0	-2.0
R03659__cytop	0.0005080710536053658	-2.000000000001819
R10122__cytop	0.0	-2.0
R02488__mito	0.0	-2.0
R02549__chlo	0.0	-2.0
R07023__e_r_	0.0	-2.0
PKS_C163__cytop	0.00016356146123019531	-1.999999999992724
R12172__e_r_	0.0	-2.0
TO1000274_PLAS__plas	0.0	-2.0
R00494__pero	0.0	-2.0
EX_C16641__dra	-0.0	-2.0
TZ2900002_PLAS__vacmem	0.0	-2.0
R02487__mito	0.0	-2.0
T_Diphosphate__ermem	-0.007484680180217968	2.0
EX_C00070__dra	-0.0	-2.0
R09477__cytop	0.0	4.0
R04946__mito	0.0	-2.0
R08390__e_r_	0.0	-2.0
R00531__mito	0.0009734251080618563	-2.0
R01665__mito	0.0	-2.0
R01827__cytop	-0.013592742996296321	2.0
R03197__chlo	0.0009877063911417224	-2.0
R04998__vacu	0.0	-2.0
T_URATEtm__mitmem	0.0	2.0
R03036__chlo	0.0	-2.0
R00899__mito	0.0	-2.0
R10039__e_r_	0.0	-2.0
R07116__chlo	0.0	-2.0
PKS_C60__cytop	0.0	30.000000000003638
R04506__mito	0.0	-2.0
R01071__cytop	-0.0005582651359645465	2.0000000000004547
R03971__cytop	0.0	-2.0
R09737__mito	5.121829769194619e-07	-2.0
R00702__e_r_	0.0	-2.0
R02047__mito	0.0	-2.0
R02093__cytop	0.0023938735574107407	-2.0
R01021__cytop	0.0	-12391.964005021564
R07070__chlo	0.0	-2.0
R00582__mito	0.0	-1.9999999999995453
EX_C05688__dra	-0.0	-2.0
R08267__e_r_	0.0	-2.0
R10039__vacu	0.0	-2.0
R04747__pero	0.0	2.0
R08733__cytop	0.0	-2.0
T_OAAICITtm__mitmem	0.0022769613554624256	-2.0
R02098__mito	0.0	-2.0
T_CO__plas	1.0396890185650262e-06	-2.0
T_L_Threonine__chlomem	-0.0011659888270999146	2.0
R00424__chlo	0.0	-2.0
T_CMP_V3__golmem	0.0	-2.0
TO1000751_PLAS__plas	0.0	-2.0
R01626__cytop	0.0014720531510717578	-2.0
R04960__cytop	0.0	-2.0
R04100__pero	0.0	2.0
R07509__e_r_	0.0	-2.0
R00089__nucl	0.0	-2.0
R08237__cytop	0.0	-2.0
R12173__e_r_	0.0003606985220843079	-2.0
R11319__cytop	0.0	-2.0
R02327__nucl	0.0	-2.0
e_Lipid__cytop	0.0010041326803537016	-2.0
R08177__pero	0.0	-2.0
R02408__cytop	0.0	-2.0
R04681__e_r_	0.0	-2.0
R11308__cytop	0.0	0.0
R01070__mito	0.0	-2.0
R00277__cytop	0.0	-2.0
R03469__cytop	0.0	2231.76352090388
